1,1,1
2,1,2
3,2,3
4,2,4
5,3,1
6,3,2
7,6,1
8,6,2
9,7,1
10,7,2
11,10,1
12,10,2
13,11,5
14,11,6
15,11,7
17,12,3
18,12,4
19,16,3
20,16,4
21,17,1
22,17,2
23,18,1
24,18,2
25,19,1
26,19,2
27,24,8
28,24,9
29,25,10
30,25,11
31,25,12
32,26,8
33,26,9
34,34,1
35,34,2
36,36,6
37,36,7
38,37,5
39,37,6
40,37,7
41,51,5
42,51,6
43,51,7
44,74,10
45,74,11
46,74,12
47,1,13
48,1,14
49,2,15
50,2,16
51,3,17
52,6,18
53,6,19
54,7,20
55,7,21
56,10,22
58,10,23
59,11,24
60,11,25
61,11,26
62,12,27
63,12,28
64,16,29
65,16,30
66,17,31
67,17,32
16,18,33
68,18,34
70,19,33
71,19,34
72,24,35
73,24,36
74,26,37
75,26,38
76,34,39
77,34,40
78,34,41
79,35,42
80,35,43
81,36,25
82,36,26
83,37,24
84,37,25
85,37,26
86,38,24
87,38,25
88,38,26
89,39,24
90,39,25
91,39,26
92,40,24
93,40,25
94,40,26
95,41,24
96,41,25
97,41,26
98,42,24
99,42,25
100,42,26
101,43,24
102,43,25
103,43,26
104,44,24
105,44,25
106,44,26
107,50,24
108,50,25
109,50,26
110,51,24
111,51,25
112,51,26
113,53,24
114,53,25
115,53,26
116,54,24
117,54,25
118,54,26
119,55,24
120,55,25
121,55,26
122,56,24
123,56,25
124,56,26
125,57,24
126,57,25
127,57,26
128,58,24
129,58,25
130,58,26
131,59,24
132,59,25
133,59,26
